Lake,Monitoring_Location_ID,Characteristic_Name,GAM_Percent_Change,Lower_CI,Upper_CI
Lake Ellsworth,311300030020-02,"Chlorophyll a, corrected for pheophytin",251.54,178.19,345.66
Lake Ellsworth,311300030020-03,"Chlorophyll a, corrected for pheophytin",265.96,191.03,362.1
Lake Ellsworth,311300030020-04,"Chlorophyll a, corrected for pheophytin",296.83,210.46,410.97
Lake Ellsworth,311300030020-05,"Chlorophyll a, corrected for pheophytin",,,
Lake Etling,720900000240-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Etling,720900000240-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Etling,720900000240-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Frederick,311310030120-01,"Chlorophyll a, corrected for pheophytin",1028.37,1021.01,1035.75
Lake Frederick,311310030120-02,"Chlorophyll a, corrected for pheophytin",875.05,869.04,881.07
Lake Frederick,311310030120-03,"Chlorophyll a, corrected for pheophytin",482.08,479.01,485.15
Lake Frederick,311310030120-04,"Chlorophyll a, corrected for pheophytin",206.43,206.03,206.82
Lake Frederick,311310030120-05,"Chlorophyll a, corrected for pheophytin",148.2,147.95,148.44
Lake Henryetta,520700010180-01,"Chlorophyll a, corrected for pheophytin",26.77,26.76,26.78
Lake Henryetta,520700010180-02,"Chlorophyll a, corrected for pheophytin",-11.85,-11.85,-11.85
Lake Henryetta,520700010180-03,"Chlorophyll a, corrected for pheophytin",-48.75,-48.76,-48.75
Lake Henryetta,520700010180-04,"Chlorophyll a, corrected for pheophytin",,,
Lake Henryetta,520700010180-05,"Chlorophyll a, corrected for pheophytin",,,
Lake Hudson,121600020020-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Hudson,121600020020-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Hudson,121600020020-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Hudson,121600020020-04,"Chlorophyll a, corrected for pheophytin",,,
Lake Hudson,121600020140-05,"Chlorophyll a, corrected for pheophytin",,,
Lake Hudson,121600020140-06,"Chlorophyll a, corrected for pheophytin",15285.57,13051.31,18158.15
Lake Hudson,121600020140-07,"Chlorophyll a, corrected for pheophytin",,,
Lake Hudson,121600020140-08,"Chlorophyll a, corrected for pheophytin",-365.1,-377.95,-352.19
Lake Jean Neustadt,310800030140-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Jean Neustadt,310800030140-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Jean Neustadt,310800030140-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Jean Neustadt,310800030140-04,"Chlorophyll a, corrected for pheophytin",,,
Lake Jean Neustadt,310800030140-05,"Chlorophyll a, corrected for pheophytin",,,
Lake Konawa,520600010100-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Konawa,520600010100-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Konawa,520600010100-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Konawa,520600010100-04,"Chlorophyll a, corrected for pheophytin",,,
Lake Konawa,520600010100-05,"Chlorophyll a, corrected for pheophytin",,,
Lake Lawtonka,311300040070-01,"Chlorophyll a, corrected for pheophytin",364.41,359.26,369.56
Lake Lawtonka,311300040070-02,"Chlorophyll a, corrected for pheophytin",148.44,146.39,150.49
Lake Lawtonka,311300040070-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Lawtonka,311300040070-04,"Chlorophyll a, corrected for pheophytin",,,
Lake Lawtonka,311300040070-05,"Chlorophyll a, corrected for pheophytin",25.95,25.7,26.21
Lake Louis Burtschi,310820020070-01,"Chlorophyll a, corrected for pheophytin",-445.16,-488.29,-399.41
Lake Louis Burtschi,310820020070-02,"Chlorophyll a, corrected for pheophytin",-332.69,-364.84,-299.21
Lake Louis Burtschi,310820020070-03,"Chlorophyll a, corrected for pheophytin",-379.8,-417.49,-340.21
Lake McAlester,220600020030-01,"Chlorophyll a, corrected for pheophytin",3667.06,3649.89,3684.34
Lake McAlester,220600020030-02,"Chlorophyll a, corrected for pheophytin",-91.64,-91.76,-91.52
Lake McAlester,220600020030-03,"Chlorophyll a, corrected for pheophytin",-75.23,-75.33,-75.14
Lake McAlester,220600020030-04,"Chlorophyll a, corrected for pheophytin",,,
Lake McAlester,220600020030-05,"Chlorophyll a, corrected for pheophytin",,,
Lake McMurtry,620900040240-01,"Chlorophyll a, corrected for pheophytin",-2521.63,-5046.15,391.18
Lake McMurtry,620900040240-02,"Chlorophyll a, corrected for pheophytin",135.93,-651.41,971.48
Lake McMurtry,620900040240-03,"Chlorophyll a, corrected for pheophytin",105.11,-1076.84,1399.23
Lake McMurtry,620900040240-04,"Chlorophyll a, corrected for pheophytin",-227.68,-347.41,-102.74
Lake McMurtry,620900040240-05,"Chlorophyll a, corrected for pheophytin",-326.13,-525.02,-112.64
Lake Murray,311100020090-01,"Chlorophyll a, corrected for pheophytin",-235.96,-277.73,-190.55
Lake Murray,311100020090-02,"Chlorophyll a, corrected for pheophytin",-133.07,-171.26,-90.07
Lake Murray,311100020090-03,"Chlorophyll a, corrected for pheophytin",-6.04,-45.62,37.84
Lake Murray,311100020090-04,"Chlorophyll a, corrected for pheophytin",-91.53,-125.25,-54.33
Lake Murray,311100020090-05,"Chlorophyll a, corrected for pheophytin",-19.94,-66.79,33.19
Lake Nanih Waiya,410310010050-01,"Chlorophyll a, corrected for pheophytin",188.81,188.55,189.07
Lake Nanih Waiya,410310010050-02,"Chlorophyll a, corrected for pheophytin",224.88,211.03,239.69
Lake Nanih Waiya,410310010050-03,"Chlorophyll a, corrected for pheophytin",222.03,212.96,231.51
Lake Overholser,520520000260-01,"Chlorophyll a, corrected for pheophytin",-40.58,-105.82,36.73
Lake Overholser,520520000260-02,"Chlorophyll a, corrected for pheophytin",6.48,-26.9,46.23
Lake Overholser,520520000260-03,"Chlorophyll a, corrected for pheophytin",36.14,11.25,64.17
Lake Overholser,520520000260-04,"Chlorophyll a, corrected for pheophytin",1588.15,1080.01,2196.75
Lake Overholser,520520000260-05,"Chlorophyll a, corrected for pheophytin",-110.54,-181.94,-36.55
Lake Ozzie Cobb,410300020220-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Ozzie Cobb,410300020220-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Ozzie Cobb,410300020220-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Pawhuska,121300030230-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Pawhuska,121300030230-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Pawhuska,121300030230-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Ponca,621200020210-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Ponca,621200020210-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Ponca,621200020210-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Ponca,621200020210-04,"Chlorophyll a, corrected for pheophytin",,,
Lake Ponca,621200020210-05,"Chlorophyll a, corrected for pheophytin",,,
Lake Raymond Gary,410300010040-01,"Chlorophyll a, corrected for pheophytin",-41.11,-42.32,-39.89
Lake Raymond Gary,410300010040-02,"Chlorophyll a, corrected for pheophytin",-9.38,-12.96,-5.69
Lake Raymond Gary,410300010040-03,"Chlorophyll a, corrected for pheophytin",-73.96,-76.23,-71.63
Lake Raymond Gary,410300010040-04,"Chlorophyll a, corrected for pheophytin",-22.12,-25.21,-18.97
Lake Raymond Gary,410300010040-05,"Chlorophyll a, corrected for pheophytin",49.81,38.32,62.01
Lake Sahoma,120420020130-01,"Chlorophyll a, corrected for pheophytin",-90.7,-90.79,-90.62
Lake Sahoma,120420020130-02,"Chlorophyll a, corrected for pheophytin",-95.19,-95.26,-95.11
Lake Sahoma,120420020130-03,"Chlorophyll a, corrected for pheophytin",-86.72,-86.79,-86.65
Lake Sahoma,120420020130-04,"Chlorophyll a, corrected for pheophytin",,,
Lake Sahoma,120420020130-05,"Chlorophyll a, corrected for pheophytin",,,
Lake Stanley Draper,520810000130-01,"Chlorophyll a, corrected for pheophytin",37.57,-57.81,153.08
Lake Stanley Draper,520810000130-02,"Chlorophyll a, corrected for pheophytin",14.02,-4.1,33
Lake Stanley Draper,520810000130-03,"Chlorophyll a, corrected for pheophytin",61.32,42.67,80.81
Lake Stanley Draper,520810000130-04,"Chlorophyll a, corrected for pheophytin",61.1,44.87,77.96
Lake Stanley Draper,520810000130-05,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,310800010011-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,310800010011-04,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010020-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010020-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010030-05,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010030-06,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010030-07,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010030-08,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010030-09,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010030-10,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010030-11,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010080-12,"Chlorophyll a, corrected for pheophytin",,,
Lake Texoma,311100010080-13,"Chlorophyll a, corrected for pheophytin",,,
Lake Thunderbird,520810000020-01,"Chlorophyll a, corrected for pheophytin",622.09,519.04,759.03
Lake Thunderbird,520810000020-02,"Chlorophyll a, corrected for pheophytin",416.47,361.68,482.86
Lake Thunderbird,520810000020-03,"Chlorophyll a, corrected for pheophytin",390.03,347.05,440.2
Lake Thunderbird,520810000020-04,"Chlorophyll a, corrected for pheophytin",269.25,190.38,380.62
Lake Thunderbird,520810000020-05,"Chlorophyll a, corrected for pheophytin",329.87,296.85,367.49
Lake Thunderbird,520810000020-06,"Chlorophyll a, corrected for pheophytin",258.61,236.36,283.19
Lake Thunderbird,520810000020-07,"Chlorophyll a, corrected for pheophytin",1036.57,965.51,1109.78
Lake Thunderbird,520810000020-08,"Chlorophyll a, corrected for pheophytin",-342.96,-375.45,-303.32
Lake Thunderbird,520810000020-11,"Chlorophyll a, corrected for pheophytin",-78.67,-161.91,36.6
Lake Thunderbird,520810000020-12,"Chlorophyll a, corrected for pheophytin",,,
Lake Thunderbird,520810000020-20,"Chlorophyll a, corrected for pheophytin",,,
Lake Vanderwork,310830020110-01,"Chlorophyll a, corrected for pheophytin",,,
Lake Vanderwork,310830020110-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Vanderwork,310830020110-03,"Chlorophyll a, corrected for pheophytin",,,
Lake Vincent,520620050200-01,"Chlorophyll a, corrected for pheophytin",62.45,62.41,62.5
Lake Vincent,520620050200-02,"Chlorophyll a, corrected for pheophytin",39.35,39.33,39.38
Lake Vincent,520620050200-03,"Chlorophyll a, corrected for pheophytin",24.6,24.58,24.61
Lake Wayne Wallace,220100040150-01,"Chlorophyll a, corrected for pheophytin",66.36,55.01,78.76
Lake Wayne Wallace,220100040150-02,"Chlorophyll a, corrected for pheophytin",,,
Lake Wayne Wallace,220100040150-03,"Chlorophyll a, corrected for pheophytin",,,
Langston Lake,620900030180-01,"Chlorophyll a, corrected for pheophytin",,,
Langston Lake,620900030180-02,"Chlorophyll a, corrected for pheophytin",,,
Langston Lake,620900030180-03,"Chlorophyll a, corrected for pheophytin",,,
Langston Lake,620900030180-04,"Chlorophyll a, corrected for pheophytin",,,
Langston Lake,620900030180-05,"Chlorophyll a, corrected for pheophytin",,,
Liberty Lake,620910040080-01,"Chlorophyll a, corrected for pheophytin",,,
Liberty Lake,620910040080-02,"Chlorophyll a, corrected for pheophytin",,,
Liberty Lake,620910040080-03,"Chlorophyll a, corrected for pheophytin",,,
Lloyd Church,220100040100-01,"Chlorophyll a, corrected for pheophytin",,,
Lloyd Church,220100040100-02,"Chlorophyll a, corrected for pheophytin",,,
Lloyd Church,220100040100-03,"Chlorophyll a, corrected for pheophytin",,,
Lloyd Church,220100040100-04,"Chlorophyll a, corrected for pheophytin",,,
Lone Chimney Lake,621200030060-01,"Chlorophyll a, corrected for pheophytin",199.98,184.33,215.8
Lone Chimney Lake,621200030060-02,"Chlorophyll a, corrected for pheophytin",-32.01,-33.8,-30.21
Lone Chimney Lake,621200030060-03,"Chlorophyll a, corrected for pheophytin",-317.21,-335.47,-298.61
Lone Chimney Lake,621200030060-04,"Chlorophyll a, corrected for pheophytin",,,
Lone Chimney Lake,621200030060-05,"Chlorophyll a, corrected for pheophytin",,,
McGee Creek Reservoir,410400070020-01,"Chlorophyll a, corrected for pheophytin",38.66,38.64,38.69
McGee Creek Reservoir,410400070020-02,"Chlorophyll a, corrected for pheophytin",36.06,36.05,36.08
McGee Creek Reservoir,410400070020-03,"Chlorophyll a, corrected for pheophytin",34.67,34.66,34.69
McGee Creek Reservoir,410400070020-04,"Chlorophyll a, corrected for pheophytin",-6.88,-6.88,-6.88
McGee Creek Reservoir,410400070020-05,"Chlorophyll a, corrected for pheophytin",30.61,30.59,30.62
Meeker Lake,520700040370-01,"Chlorophyll a, corrected for pheophytin",,,
Meeker Lake,520700040370-02,"Chlorophyll a, corrected for pheophytin",,,
Meeker Lake,520700040370-03,"Chlorophyll a, corrected for pheophytin",,,
Mountain Lake,310800030200-01,"Chlorophyll a, corrected for pheophytin",,,
Mountain Lake,310800030200-02,"Chlorophyll a, corrected for pheophytin",,,
Mountain Lake,310800030200-03,"Chlorophyll a, corrected for pheophytin",,,
New Spiro Lake,220100010050-01,"Chlorophyll a, corrected for pheophytin",163.36,148.74,178.53
New Spiro Lake,220100010050-02,"Chlorophyll a, corrected for pheophytin",70.33,61.68,79.56
New Spiro Lake,220100010050-03,"Chlorophyll a, corrected for pheophytin",35.29,33.78,36.81
Okemah Lake,520700020290-01,"Chlorophyll a, corrected for pheophytin",147.66,127.55,170.22
Okemah Lake,520700020290-02,"Chlorophyll a, corrected for pheophytin",105.29,63.99,153.15
Okemah Lake,520700020290-03,"Chlorophyll a, corrected for pheophytin",176.95,117.52,249.1
Okemah Lake,520700020290-04,"Chlorophyll a, corrected for pheophytin",127.87,81.51,182.32
Okemah Lake,520700020290-05,"Chlorophyll a, corrected for pheophytin",,,
Okmulgee Lake,520700020040-01,"Chlorophyll a, corrected for pheophytin",-9.71,-16.41,-2.54
Okmulgee Lake,520700020040-02,"Chlorophyll a, corrected for pheophytin",-174,-233.28,-112.05
Okmulgee Lake,520700020040-03,"Chlorophyll a, corrected for pheophytin",-107.6,-116.36,-98.78
Okmulgee Lake,520700020040-04,"Chlorophyll a, corrected for pheophytin",,,
Okmulgee Lake,520700020040-05,"Chlorophyll a, corrected for pheophytin",,,
Oologah Lake,121510010020-01,"Chlorophyll a, corrected for pheophytin",,,
Oologah Lake,121510010020-02,"Chlorophyll a, corrected for pheophytin",,,
Oologah Lake,121510010020-03,"Chlorophyll a, corrected for pheophytin",,,
Oologah Lake,121510010020-04,"Chlorophyll a, corrected for pheophytin",,,
Oologah Lake,121510010020-05,"Chlorophyll a, corrected for pheophytin",,,
Oologah Lake,121510010020-06,"Chlorophyll a, corrected for pheophytin",,,
Oologah Lake,121510010020-07,"Chlorophyll a, corrected for pheophytin",,,
Pauls Valley City Lake,310810010180-01,"Chlorophyll a, corrected for pheophytin",-902.93,-942.38,-863.36
Pauls Valley City Lake,310810010180-02,"Chlorophyll a, corrected for pheophytin",2083.87,1623.2,2573.36
Pauls Valley City Lake,310810010180-03,"Chlorophyll a, corrected for pheophytin",560.83,276.2,857.46
Pauls Valley City Lake,310810010180-04,"Chlorophyll a, corrected for pheophytin",96.61,52.12,142.22
Pauls Valley City Lake,310810010180-05,"Chlorophyll a, corrected for pheophytin",337.38,252.39,426.26
Pawnee Lake,621200030100-01,"Chlorophyll a, corrected for pheophytin",,,
Pawnee Lake,621200030100-02,"Chlorophyll a, corrected for pheophytin",,,
Pawnee Lake,621200030100-03,"Chlorophyll a, corrected for pheophytin",,,
Pawnee Lake,621200030100-04,"Chlorophyll a, corrected for pheophytin",,,
Pawnee Lake,621200030100-05,"Chlorophyll a, corrected for pheophytin",,,
Perry Lake,621200030350-01,"Chlorophyll a, corrected for pheophytin",,,
Perry Lake,621200030350-02,"Chlorophyll a, corrected for pheophytin",-66.85,-66.86,-66.85
Perry Lake,621200030350-03,"Chlorophyll a, corrected for pheophytin",-13.05,-13.06,-13.05
Perry Lake,621200030350-04,"Chlorophyll a, corrected for pheophytin",-74.41,-74.42,-74.4
Perry Lake,621200030350-05,"Chlorophyll a, corrected for pheophytin",,,
Pine Creek Lake,410210020020-01,"Chlorophyll a, corrected for pheophytin",-103.85,-104.05,-103.65
Pine Creek Lake,410210020020-02,"Chlorophyll a, corrected for pheophytin",-67.12,-67.25,-66.99
Pine Creek Lake,410210020020-03,"Chlorophyll a, corrected for pheophytin",-133.36,-133.61,-133.12
Pine Creek Lake,410210020020-04,"Chlorophyll a, corrected for pheophytin",-160.9,-161.21,-160.6
Pine Creek Lake,410210020020-05,"Chlorophyll a, corrected for pheophytin",-166.73,-167.04,-166.42
Prague City Lake,520700040220-01,"Chlorophyll a, corrected for pheophytin",206,203.14,208.9
Prague City Lake,520700040220-02,"Chlorophyll a, corrected for pheophytin",245.33,244.91,245.75
Prague City Lake,520700040220-03,"Chlorophyll a, corrected for pheophytin",456.96,455.82,458.1
Purcell Lake,520610030040-01,"Chlorophyll a, corrected for pheophytin",,,
Purcell Lake,520610030040-02,"Chlorophyll a, corrected for pheophytin",,,
Purcell Lake,520610030040-03,"Chlorophyll a, corrected for pheophytin",,,
Purcell Lake,520610030040-04,"Chlorophyll a, corrected for pheophytin",,,
RC Longmire Lake,310810010186-01,"Chlorophyll a, corrected for pheophytin",83.09,21.1,193.33
RC Longmire Lake,310810010186-02,"Chlorophyll a, corrected for pheophytin",218.02,107.24,453.64
RC Longmire Lake,310810010186-03,"Chlorophyll a, corrected for pheophytin",554.36,350.66,997.15
RC Longmire Lake,310810010186-04,"Chlorophyll a, corrected for pheophytin",229.89,172.63,288.94
RC Longmire Lake,310810010186-05,"Chlorophyll a, corrected for pheophytin",569.92,527.81,612.9
Robert S. Kerr Reservoir,220200020020-01,"Chlorophyll a, corrected for pheophytin",907.61,798.81,1024.31
Robert S. Kerr Reservoir,220200020020-02,"Chlorophyll a, corrected for pheophytin",65.6,-27.4,166.97
Robert S. Kerr Reservoir,220200020020-03,"Chlorophyll a, corrected for pheophytin",215.54,164.58,271.59
Robert S. Kerr Reservoir,220200020020-04,"Chlorophyll a, corrected for pheophytin",776.38,669.65,891.4
Robert S. Kerr Reservoir,220200020020-05,"Chlorophyll a, corrected for pheophytin",233.24,159.1,312.22
Robert S. Kerr Reservoir,220200020020-06,"Chlorophyll a, corrected for pheophytin",42.34,11.67,73.9
